index,date,day,type
1,08/12/2021,Wednesday,Morning
2,08/12/2021,Wednesday,Afternoon
3,08/12/2021,Wednesday,Evening
4,09/12/2021,Thursday,Morning
5,09/12/2021,Thursday,Afternoon
6,09/12/2021,Thursday,Evening
7,10/12/2021,Friday,Morning
8,10/12/2021,Friday,Afternoon
9,10/12/2021,Friday,Evening
10,11/12/2021,Saturday,Morning
11,11/12/2021,Saturday,Afternoon
12,11/12/2021,Saturday,Evening
13,13/12/2021,Monday,Morning
14,13/12/2021,Monday,Afternoon
15,13/12/2021,Monday,Evening
16,14/12/2021,Tuesday,Morning
17,14/12/2021,Tuesday,Afternoon
18,14/12/2021,Tuesday,Evening
19,15/12/2021,Wednesday,Morning
20,15/12/2021,Wednesday,Afternoon
21,15/12/2021,Wednesday,Evening
22,16/12/2021,Thursday,Morning
23,16/12/2021,Thursday,Afternoon
24,16/12/2021,Thursday,Evening
25,17/12/2021,Friday,Morning
26,17/12/2021,Friday,Afternoon
27,17/12/2021,Friday,Evening
28,18/12/2021,Saturday,Morning
29,18/12/2021,Saturday,Afternoon
30,18/12/2021,Saturday,Evening
31,21/12/2021,Monday,Morning
32,21/12/2021,Monday,Afternoon
33,21/12/2021,Monday,Evening
34,22/12/2021,Tuesday,Morning
35,22/12/2021,Tuesday,Afternoon
36,22/12/2021,Tuesday,Evening
